jeremie@espresso:~/mscthesis/jmiserez/sdns/commutativity$ ./test.py 
Pass. intersects.
Pass. intersects.
Pass. intersects.
Pass. does not intersect.
Pass. is not a subset.
Pass. is not a subset.
Pass. is subset.
Pass. is not a subset.
49/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
50/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
51/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
52/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
53/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
54/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
55/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
56/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
57/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
58/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
59/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
60/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
61/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
62/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
63/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
64/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
65/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
66/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
67/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
68/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
69/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
70/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
71/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
72/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
73/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
74/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
75/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
76/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
77/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
78/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
79/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
80/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
81/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
82/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
83/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
84/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
85/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
86/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
87/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
88/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
89/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
90/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
91/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
92/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
93/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
94/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
95/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
96/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
97/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
98/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
99/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
100/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
101/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
102/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
103/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
104/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
105/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
106/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
107/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
108/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
109/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-1) vs.(+1/-0, +0/-0)
110/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-1) vs.(+1/-0, +0/-0)
111/1360: Pass. does not commute. Rules added/removed: (+1/-0, +1/-1) vs.(+1/-0, +1/-0)
112/1360: Pass. does not commute. Rules added/removed: (+1/-0, +1/-1) vs.(+1/-0, +1/-0)
113/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
114/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
115/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
116/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
117/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
118/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
119/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
120/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
121/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
122/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
123/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
124/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
125/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
126/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
127/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
128/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
129/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
130/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
131/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
132/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
133/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
134/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
135/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
136/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
137/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
138/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
139/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
140/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
141/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
142/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-1) vs.(+1/-0, +0/-0)
143/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
144/1360: Pass. does not commute. Rules added/removed: (+1/-0, +1/-1) vs.(+1/-0, +1/-0)
145/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
146/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
147/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
148/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
149/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
150/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
151/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
152/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
153/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
154/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
155/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
156/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
157/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
158/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
159/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
160/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
161/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
162/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
163/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
164/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
165/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
166/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
167/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
168/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
169/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
170/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
171/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
172/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
173/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
174/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
175/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
176/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
177/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
178/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
179/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
180/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
181/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
182/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
183/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
184/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
185/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
186/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
187/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
188/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
189/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
190/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
191/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
192/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
193/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
194/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
195/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
196/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
197/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
198/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
199/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
200/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
201/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
202/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
203/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
204/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
