Running a total of 364 testcases out of 
133/364: Soft Fail. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
134/364: Soft Fail. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
135/364: Soft Fail. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
136/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
137/364: Soft Fail. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
138/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
140/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
143/364: Soft Fail. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
146/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
183/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
184/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
185/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
186/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
187/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
189/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
196/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
197/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
198/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
199/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
200/364: Soft Fail. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
201/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
202/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-1) vs.(+0/-0, +1/-1)
203/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
204/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
205/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
206/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
207/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
208/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
209/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
210/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
212/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
219/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
220/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
221/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
222/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
223/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-1) vs.(+0/-0, +1/-1)
224/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
225/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
226/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
227/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
228/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
229/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
231/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
234/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
237/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
274/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
275/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
276/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
277/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
278/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
280/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-1) vs.(+0/-0, +1/-1)
287/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
288/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
289/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
290/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
291/364: Soft Fail. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
292/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-1) vs.(+0/-0, +1/-1)
293/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
294/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
295/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
296/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
297/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
298/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
299/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
300/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
301/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
303/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-1) vs.(+0/-0, +1/-1)
310/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
311/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
312/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
313/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-1) vs.(+0/-0, +1/-1)
314/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
315/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
316/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
317/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
318/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
319/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
320/364: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
322/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-1) vs.(+0/-0, +1/-1)
325/364: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
328/364: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
Passed: 131, Failed: 13 (soft: 13, hard: 0), n/a: 220 , Total: 364


